Item,Description,Quantity,Unit Price ($),Total Price ($),URL
ESP32 Dev Board,ESP32 microcontroller development board,1,3.99,3.99,https://robocraze.com/products/nodemcu-32-wifi-bluetooth-esp32-development-board30-pin?variant=42268194046176&country=IN&currency=INR&campaignid=22114711878&adgroupid=&keyword=&device=c&gad_campaignid=22124708836
"0.96"" OLED Display",128x64 I2C OLED Display,1,1.99,1.99,https://robocraze.com/products/0-96in-oled-display-module-4pin?_pos=1&_sid=3a6f31c75&_ss=r
Push Buttons,4-pin tactile push buttons,5,0.13,0.7,https://robocraze.com/products/tactile-4-pin-push-button-switch-pack-of-5-6x6x6-mm?_pos=1&_sid=f6dfb2570&_ss=r
Active Buzzer,5V active buzzer module,1,0.2,0.2,https://robocraze.com/products/3-volts-buzzer-small?_pos=2&_sid=4db98eb7c&_ss=r
Green LED,5mm LED,1,0.01,0.01,https://robocraze.com/products/5mm-green-led-pack-of-10?_pos=1&_sid=0aa5eb9bf&_ss=r
220Ω Resistor,1/4W resistor,1,0.01,0.01,https://robocraze.com/products/220-ohm-resistor-pack-of-10?_pos=1&_psq=220&_ss=e&_v=1.0
Breadboard,400 point breadboard,1,0.6,0.6,https://robocraze.com/products/breadboard?_pos=1&_sid=1066abaaf&_ss=r
Jumper Wires M-M,Male-to-Male pack,1,0.2,0.2,https://robocraze.com/products/m2m-jumper-wires-20cm-20pcs?_pos=1&_sid=f9ecd725b&_ss=r
Jumper Wires M-F,Male-to-Female pack,1,0.2,0.2,https://robocraze.com/products/f2m-jumper-wires-20cm-20pcs?_pos=2&_sid=e8db26dd1&_ss=r
,,,,Grand Total: $9,
,,,,,
,,,,,
,,,,,
